🇭🇰港澳台,#genre#
TVB星河,https://o11.163189.xyz/stream/live/tvbxh/$订阅源
TVB星河,http://o11.163189.xyz/stream/live/tvbxh/$订阅源
TVB星河,https://cdn10.163189.xyz/stream/163189/xinghe/$订阅源
TVB星河,http://r.jdshipin.com/sXuuD$订阅源
TVB星河,http://r.jdshipin.com/Voac4$订阅源
TVB J2,https://cdn9.163189.xyz/smt3.1.1.php?id=j2_twn#https://cdn9.163189.xyz/smt3.1.1.php?id=j2_twn$订阅源
TVB J2,http://php.jdshipin.com/TVOD/iptv.php?id=j2$IPV4•线路3
TVB J2,http://php.jdshipin.com:8880/smt.php?id=j2_twn$订阅源
凤凰香港,https://cdn6.163189.xyz/163189/fhhk$订阅源
凤凰香港,http://api.kkhk.itv888.vip:8080/streams/mty4v56ud39/index.m3u8$订阅源
凤凰香港,http://r.jdshipin.com/yDoTN$订阅源
凤凰香港,http://r.jdshipin.com/NfC0f$订阅源
凤凰香港,https://live.catvod.com/live.php?token=815e29cc8c01a08e58b6bc1f59358054ad9a6f8a4f65ad2ebe535c7da196a77e&id=hkphoenix_twn$订阅源
凤凰电影,https://tv.bfsu.edu.cn/hls/fhdy.m3u8$订阅源
凤凰电影,https://hls-gateway.vpstv.net/streams/708910.m3u8$订阅源
龙华经典,http://cdn8.163189.xyz/163189/lhjd$订阅源
龙华经典,https://cdn8.163189.xyz/163189/lhjd$订阅源
龙华经典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8$订阅源
龙华经典,http://free.cnlive.club/channel/66c892d4/index.m3u8$订阅源
龙华经典,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=litv-longturn21$订阅源
龙华洋片,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=litv-longturn02$订阅源
龙华洋片,https://edgeone.passwdword.xyz/ofiii.php?token=passwd&id=litv-longturn02$订阅源
龙华洋片,http://free.cnlive.club/channel/66c68ce7/index.m3u8$订阅源
龙华洋片,https://cdn8.163189.xyz/live/lhyp/stream.m3u8$订阅源
龙华洋片,https://hls-gateway.vpstv.net/streams/477076.m3u8$订阅源
PopC,https://tvb.go-iptv.ggff.net/stream/tvb/popc/master.m3u8?u=caonima&p=17dff6b2f2f8765d17991c586cbb7ef9827a1dd4982e17b915453c457e4636ab$订阅源
PopC,http://tl.061833.xyz/tl/popc$订阅源
PopC,http://mytvsuper.webn.cc:2052/stream/mytv/popc/master.m3u8?u=yhy&p=447c04d6fbd1b6db532939627946d3ee4532fbe69a842ccfe439df51e0fff326$订阅源
天映经典,http://tl.061833.xyz/tl/null-1$订阅源
天映经典,http://o11.163189.xyz/stream/live/ccm/#https://cdn9.163189.xyz/smt3.1.1.php?id=Celestial2$订阅源
天映经典,https://o11.163189.xyz/stream/live/ccm/#https://cdn9.163189.xyz/smt3.1.1.php?id=Celestial2$订阅源
天映经典,https://cdn9.163189.xyz/smt1.1.php?id=Celestial2$订阅源
天映经典,http://php.jdshipin.com:8880/smt.php?id=Celestial2$订阅源
1905电影,http://php.jdshipin.com/1905.php$订阅源
CHC家庭影院,https://www.freetv.top/migu/644368373.m3u8?migutoken=b9d9d0ba0208e949cf0736455b86290b2d1d2ff4727f523b7117dde6eb883cb4582c5ce1519685e57d54bfb562057c10a00dde58bb674d8600fd2d918b8cb440294e083e7b8f19e0dbcc9250d8$订阅源
CHC家庭影院,http://api.kkhk.itv888.vip:8080/streams/qja633ty8n/index.m3u8$订阅源
CHC家庭影院,http://php.jdshipin.com/TVOD/iptv.php?id=chcjtyy$订阅源
CHC家庭影院,https://t.freetv.fun/live/chcjia-ting-ying-yuan-2.m3u8$订阅源
CHC家庭影院,https://t.freetv.fun/live/chcjia-ting-ying-yuan-1.m3u8$订阅源
CHC动作电影,http://api.kkhk.itv888.vip:8080/streams/tbqrnwqrilg/index.m3u8$订阅源
CHC动作电影,http://k.061899.xyz/k.php?id=dzdy$订阅源
CHC动作电影,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000050000000448842/main.m3u8?stbid=$订阅源
CHC动作电影,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236183/index.m3u8$订阅源
CHC动作电影,http://php.jdshipin.com/TVOD/iptv.php?id=chcdzdy$订阅源
CHC影迷电影,http://api.kkhk.itv888.vip:8080/streams/narc71xn3d/index.m3u8$订阅源
CHC影迷电影,http://k.061899.xyz/k.php?id=ymdy$订阅源
CHC影迷电影,https://mgcn.chinacert.cftest5.cn/952383261$订阅源
CHC影迷电影,http://php.jdshipin.com/TVOD/iptv.php?id=chcymdy$订阅源
CHC影迷电影,https://t.freetv.fun/live/chcying-mi-dian-ying.m3u8$订阅源
爱奇艺,https://o11.163189.xyz/stream/live/iqiyi/$订阅源
爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi$订阅源
爱奇艺,http://o11.163189.xyz/stream/live/iqiyi/$订阅源
八度空间,http://cdn6.163189.xyz/163189/8tv$订阅源
八度空间,https://cdn6.163189.xyz/163189/8tv$订阅源
RTHK33,http://cdn6.163189.xyz/163189/cctv1$订阅源
