分类: 🇭🇰港澳台, 名称: TVB功夫, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 47 ms, 最高速率: 61.55 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰港澳台, 名称: TVB星河, 有效: 1, IPv4: 14, IPv6: 0, 最小延迟: 53 ms, 最高速率: 59.58 M/s, 平均速率: 0.68 M/s, 最高分辨率: 1280x720, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 🇭🇰港澳台, 名称: TVB J2, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰港澳台, 名称: 龙华经典, 有效: 0, IPv4: 10, IPv6: 0, 最小延迟: 183 ms, 最高速率: 26.28 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰港澳台, 名称: PopC, 有效: 0, IPv4: 8, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰港澳台, 名称: 天映经典, 有效: 0, IPv4: 10, IPv6: 0, 最小延迟: 2177 ms, 最高速率: 0.86 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1024x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🇭🇰港澳台, 名称: 凤凰香港, 有效: 1, IPv4: 46, IPv6: 0, 最小延迟: 35 ms, 最高速率: 75.23 M/s, 平均速率: 0.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.33, 视频编解码器: h264, 音频编解码器: aac
分类: 🇭🇰港澳台, 名称: 私人影院, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰港澳台, 名称: 1905电影, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰港澳台, 名称: 凤凰电影, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 10247 ms, 最高速率: 0.04 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰港澳台, 名称: 龙华洋片, 有效: 0, IPv4: 7, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰港澳台, 名称: CHC家庭影院, 有效: 4, IPv4: 116, IPv6: 0, 最小延迟: 35 ms, 最高速率: 36.95 M/s, 平均速率: 17.79 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.46, 视频编解码器: h264, 音频编解码器: aac
分类: 🇭🇰港澳台, 名称: CHC动作电影, 有效: 5, IPv4: 130, IPv6: 0, 最小延迟: 69 ms, 最高速率: 15.99 M/s, 平均速率: 10.29 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.50, 视频编解码器: h264, 音频编解码器: aac
分类: 🇭🇰港澳台, 名称: 爱奇艺, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰港澳台, 名称: CHC影迷电影, 有效: 4, IPv4: 84, IPv6: 0, 最小延迟: 50 ms, 最高速率: 35.14 M/s, 平均速率: 13.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🇭🇰港澳台, 名称: 八度空间, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: 76 ms, 最高速率: 72.19 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰港澳台, 名称: Astro AEC, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰港澳台, 名称: RTHK33, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰港澳台, 名称: Astro AOD, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰港澳台, 名称: C+, 有效: 2, IPv4: 3, IPv6: 0, 最小延迟: 1507 ms, 最高速率: 1.09 M/s, 平均速率: 0.98 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🇭🇰港澳台, 名称: Astro QJ, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 2022 ms, 最高速率: 0.04 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰港澳台, 名称: 澳视卫星, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 7487 ms, 最高速率: 0.42 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🇭🇰港澳台, 名称: 澳门体育, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 4300 ms, 最高速率: 0.35 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🇭🇰港澳台, 名称: 澳视澳门, 有效: 0, IPv4: 6, IPv6: 0, 最小延迟: 49 ms, 最高速率: 66.51 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🇭🇰港澳台, 名称: 亚洲卫视, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰港澳台, 名称: 澳门综艺, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 4643 ms, 最高速率: 0.34 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🇭🇰港澳台, 名称: 澳门莲花, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰港澳台, 名称: 重温经典, 有效: 2, IPv4: 35, IPv6: 0, 最小延迟: 261 ms, 最高速率: 19.19 M/s, 平均速率: 10.39 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🇭🇰港澳台, 名称: 东森新闻, 有效: 0, IPv4: 8, IPv6: 0, 最小延迟: 375 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰港澳台, 名称: 中天新闻, 有效: 3, IPv4: 19, IPv6: 0, 最小延迟: 14 ms, 最高速率: 3.36 M/s, 平均速率: 2.01 M/s, 最高分辨率: 1280x720, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: ☘️广东频道, 名称: 广东卫视, 有效: 5, IPv4: 587, IPv6: 0, 最小延迟: 111 ms, 最高速率: 88.95 M/s, 平均速率: 26.91 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.78, 视频编解码器: h264, 音频编解码器: aac
分类: ☘️广东频道, 名称: 大湾区卫视, 有效: 5, IPv4: 105, IPv6: 0, 最小延迟: 30 ms, 最高速率: 36.14 M/s, 平均速率: 26.11 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.00, 视频编解码器: h264, 音频编解码器: aac
分类: ☘️广东频道, 名称: 广东经济科教, 有效: 0, IPv4: 15, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 云浮文旅, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 1873 ms, 最高速率: 0.16 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x404, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: ☘️广东频道, 名称: 广州南国都市, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 310 ms, 最高速率: 0.48 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: aac
